clmn_names,row1,Jim_Keep
Date_time,Part B:,Date_time
AMERICAN,ABV CONFLUENCE,
AMERICAN.1,BLW FOLSOM DAM,
AMERICAN.2,BLW NIMBUS(HAZEL AVE),
AMERICAN.3,WATT AVE,AMERICAN.A
AMERICAN.4,WILLIAM POND PARK,AMERICAN.B
CLEAR.CREEK,ABV SACRAMENTO,CLEAR.CREEK.A
CLEAR.CREEK.1,CLEAR_CR_TUNNEL,
CLEAR.CREEK.2,IGO,CLEAR.CREEK.B
CLEAR.CREEK.3,SPRING_CR_TUNNEL,
CLEAR.CREEK.4,WHISKEYTOWN,
INFLOW_TEMP,BATTLE CR,BATTLE CR
INFLOW_TEMP.1,BUTTE CR,BUTTE CR
INFLOW_TEMP.2,COLUSA DRAIN,
INFLOW_TEMP.3,COTTONWOOD CR,COTTONWOOD CR
INFLOW_TEMP.4,COW CR,COW CR
INFLOW_TEMP.5,SAC AT DELTA,
INFLOW_TEMP.6,SHASTA FLOW-WT,
INFLOW_TEMP.7,STONY CR,STONY CR
INFLOW_TEMP.8,THOMES CR,THOMES CR
INFLOW_TEMP.9,TRINITY,
SACRAMENTO,BALLS FERRY,
SACRAMENTO.1,BEND BRIDGE,UP.MID.SAC.A
SACRAMENTO.2,BLW CLEAR CREEK,UPPER.SAC.A
SACRAMENTO.3,BLW KESWICK,
SACRAMENTO.4,BLW SHASTA,
SACRAMENTO.5,BUTTE_CITY,UP.MID.SAC.B
SACRAMENTO.6,COLUSA WEIR,
SACRAMENTO.7,COTTONWOOD CR,COTTONWOOD CR
SACRAMENTO.8,COW CREEK,COW CREEK
SACRAMENTO.9,GCID,
SACRAMENTO.10,HAMILTON CITY,
SACRAMENTO.11,JELLYS FERRY,UPPER.SAC.B
SACRAMENTO.12,KNIGHTS LDG,LOW.MID.SAC
SACRAMENTO.13,MOULTIN WEIR,
SACRAMENTO.14,RED BLUFF DAM,
SACRAMENTO.15,RED_BLUFF,RED_BLUFF
SACRAMENTO.16,STONY CREEK,STONY CREEK
SACRAMENTO.17,TCID,
SACRAMENTO.18,TISDALE WEIR,
SACRAMENTO.19,WOODSON BRIDGE,
TRINITY,ABV LEWISTON,
TRINITY.1,BLW LEWISTON,
TRINITY.2,BLW TINITY DAM,
TRINITY.SAC,CRAMER_RCH_1,
TRINITY.SAC.1,CRAMER_RCH_10,
TRINITY.SAC.2,CRAMER_RCH_11,
TRINITY.SAC.3,CRAMER_RCH_12,
TRINITY.SAC.4,CRAMER_RCH_13,
TRINITY.SAC.5,CRAMER_RCH_14,
TRINITY.SAC.6,CRAMER_RCH_15,
TRINITY.SAC.7,CRAMER_RCH_16,
TRINITY.SAC.8,CRAMER_RCH_17,
TRINITY.SAC.9,CRAMER_RCH_18,
TRINITY.SAC.10,CRAMER_RCH_19,
TRINITY.SAC.11,CRAMER_RCH_2,
TRINITY.SAC.12,CRAMER_RCH_20,
TRINITY.SAC.13,CRAMER_RCH_21,
TRINITY.SAC.14,CRAMER_RCH_22,
TRINITY.SAC.15,CRAMER_RCH_3,
TRINITY.SAC.16,CRAMER_RCH_4,
TRINITY.SAC.17,CRAMER_RCH_5,
TRINITY.SAC.18,CRAMER_RCH_6,
TRINITY.SAC.19,CRAMER_RCH_7,
TRINITY.SAC.20,CRAMER_RCH_8,
TRINITY.SAC.21,CRAMER_RCH_9,
TRINITY.SAC.22,SACR_AT_BALLS_FERRY,SACR_AT_BALLS_FERRY
TRINITY.SAC.23,SACR_AT_JELLYS_FERRY,
TRINITY.SAC.24,SACR_BLW_BEND_BR,
TRINITY.SAC.25,SACR_BLW_BUTTE_CITY,
TRINITY.SAC.26,SACR_BLW_CLR_CR,
TRINITY.SAC.27,SACR_BLW_COLUSA_WEIR,
TRINITY.SAC.28,SACR_BLW_HAMILTON_CITY,
TRINITY.SAC.29,SACR_BLW_KESWICK,
TRINITY.SAC.30,SACR_BLW_KNIGHTS_LDG,
TRINITY.SAC.31,SACR_BLW_SHASTA,
TRINITY.SAC.32,SACR_BLW_TISDALE_WEIR,
TRINITY.SAC.33,SACR_BLW_WOODSON_BR,
TRINITY.SAC.34,SALMOD_RCH1,
TRINITY.SAC.35,SALMOD_RCH10,
TRINITY.SAC.36,SALMOD_RCH11,
TRINITY.SAC.37,SALMOD_RCH12,
TRINITY.SAC.38,SALMOD_RCH13,
TRINITY.SAC.39,SALMOD_RCH14,
TRINITY.SAC.40,SALMOD_RCH2,
TRINITY.SAC.41,SALMOD_RCH3,
TRINITY.SAC.42,SALMOD_RCH4,
TRINITY.SAC.43,SALMOD_RCH5,
TRINITY.SAC.44,SALMOD_RCH6,
TRINITY.SAC.45,SALMOD_RCH7,
TRINITY.SAC.46,SALMOD_RCH8,
TRINITY.SAC.47,SALMOD_RCH9,
TRINITY.SAC.48,SALMON_RCH1,
TRINITY.SAC.49,SALMON_RCH10,
TRINITY.SAC.50,SALMON_RCH11,
TRINITY.SAC.51,SALMON_RCH12,
TRINITY.SAC.52,SALMON_RCH2,
TRINITY.SAC.53,SALMON_RCH3,
TRINITY.SAC.54,SALMON_RCH4,
TRINITY.SAC.55,SALMON_RCH5,
TRINITY.SAC.56,SALMON_RCH6,
TRINITY.SAC.57,SALMON_RCH7,
TRINITY.SAC.58,SALMON_RCH8,
TRINITY.SAC.59,SALMON_RCH9,
INFLOW_TEMP.10,COLLIERVILLE,
INFLOW_TEMP.11,JAMES BYPASS,
INFLOW_TEMP.12,MERCED ABV MCCLURE,
INFLOW_TEMP.13,MERCED DRY CR,
INFLOW_TEMP.14,MIDDLE-SOUTH STAN,
INFLOW_TEMP.15,MUD_SLOUGH,
INFLOW_TEMP.16,SALT_SLOUGH,
INFLOW_TEMP.17,SJR ABV MILLERTON,
INFLOW_TEMP.18,STANISLAUS PH,
INFLOW_TEMP.19,TULLOCH LOCAL,
INFLOW_TEMP.20,TUOLUMNE ABV DON PEDRO,
INFLOW_TEMP.21,TUOLUMNE DRY CR,TUOLUMNE
MERCED,ABV SJR,MERCED.B
MERCED.1,BLW CROCKER-H,
MERCED.2,BLW MCCLURE,
MERCED.3,HIGHWAY 59 BR,
MERCED.4,SANTE FE BR,MERCED.A
SAN.JOAQUIN,ABV STAN,SAN.JOAQUIN.B
SAN.JOAQUIN.1,ABV TUOL,
SAN.JOAQUIN.2,AVB MERCED,SAN.JOAQUIN.A
SAN.JOAQUIN.3,BLW FRIANT,
SAN.JOAQUIN.4,GRAVELLY FORD,
SAN.JOAQUIN.5,LOST LAKE,
SAN.JOAQUIN.6,MENDOTA DAM,
SAN.JOAQUIN.7,SACK DAM,
SAN.JOAQUIN.8,STEVINSON,
SAN.JOAQUIN.9,VERNALIS,SAN.JOAQUIN.C
SJR,CP740 BOUNDARY,
STANISLAUS,ABV GOODWIN,
STANISLAUS.1,ABV NEW MELONES,
STANISLAUS.2,ABV SJR,
STANISLAUS.3,ABV TULLOCH,
STANISLAUS.4,BLW COLLIERPH,
STANISLAUS.5,BLW GOODWIN,
STANISLAUS.6,BLW GOODWIN 128,
STANISLAUS.7,BLW GOODWIN 129,
STANISLAUS.8,BLW GOODWIN 130,
STANISLAUS.9,BLW GOODWIN 1309,
STANISLAUS.10,BLW KF,
STANISLAUS.11,BLW KF 120,
STANISLAUS.12,BLW KF 121,
STANISLAUS.13,BLW KF 122,
STANISLAUS.14,BLW KF 123,
STANISLAUS.15,BLW KF 124,
STANISLAUS.16,BLW KF 125,
STANISLAUS.17,BLW KF 126,
STANISLAUS.18,BLW MCHENRY BR,
STANISLAUS.19,BLW NEW MELONES,
STANISLAUS.20,BLW ORBL BR,
STANISLAUS.21,BLW RIVERBANK BR,STANISLAUS.A
STANISLAUS.22,BLW TULLOCH,
STANISLAUS.23,CONFLUENCE,
STANISLAUS.24,MDLFORK,
STANISLAUS.25,MDLFORK ABV COLLIER,
STANISLAUS.26,OAKDALE H120,
STANISLAUS.27,RIPON,STANISLAUS.B
STANISLAUS.28,STAN PH,
TUOLUMNE,ABV SJR,TUOLUMNE.C
TUOLUMNE.1,BLW DON PEDRO,
TUOLUMNE.2,BLW LA GRANGE,
TUOLUMNE.3,GEER ROAD BR,TUOLUMNE.A
TUOLUMNE.4,TURLOCH PARK,TUOLUMNE.B
X,NA,
X.1,NA,
X.2,NA,
